Account Number,Lifetime Revenue,Latest Transaction Date,Latest Transaction Amount,Projected Revenue (Fiscal Year),Created Date,First Transaction Date,First Transaction Amount,Largest Transaction Amount,Largest Transaction Date,Last Modified Date,Lifetime Raised,Gender,Birth Year,Groups,Volunteer,Board Member,Employer,Primary ZIP Code,Primary State
4472,"$4,900.00 ",10/23/2023,$50.00 ,$600.00 ,10/17/2019 12:32 PM,6/25/2017,$100.00 ,$100.00 ,6/25/2017,4/29/2025 3:15 PM,"$4,900.00 ",,1966,Lapsed|Recurring,,,,63119-1930,MO
14768,$658.56 ,8/23/2025,$20.58 ,$164.64 ,5/30/2023 9:17 AM,10/4/2022,$0.00 ,$20.58 ,1/23/2023,4/29/2025 11:43 AM,$658.56 ,,1953,Current|Retained,,,,63122-4644,MO
1137,"$1,465.80 ",9/4/2025,$20.00 ,$240.00 ,10/17/2017 5:22 PM,9/25/2017,$0.00 ,$205.80 ,11/29/2022,7/31/2025 10:24 AM,"$1,465.80 ",Female,1964,Current|Retained|Recurring,,,,63119-1005,MO
22284,$10.29 ,9/4/2025,$10.29 ,$41.16 ,9/4/2025 7:55 PM,6/17/2022,$0.00 ,$10.29 ,9/4/2025,10/2/2025 12:41 PM,$10.29 ,,,Current|Recurring,,,,63021,MO
12784,$678.00 ,9/4/2025,$15.44 ,$185.28 ,10/11/2022 2:43 PM,3/4/2023,$15.44 ,$77.18 ,9/6/2023,10/2/2025 1:22 PM,$678.00 ,,,Current|Retained|Recurring|Volunteer|Young Friends,,,,63116-1322,MO
10710,"$2,080.10 ",9/5/2025,$50.00 ,$610.15 ,4/11/2022 2:19 PM,4/11/2022,$25.00 ,$102.90 ,12/24/2024,9/18/2025 2:16 PM,"$2,080.10 ",,1946,Current|Retained|Recurring,,,,63119-5319,MO
20533,$55.00 ,9/5/2025,$10.00 ,$80.00 ,3/25/2025 4:24 PM,12/10/2020,$0.00 ,$10.00 ,5/5/2025,4/29/2025 3:15 PM,$55.00 ,,,Current|Retained|Recurring,,,,63121-4818,MO
6816,$668.16 ,9/5/2025,$25.73 ,$308.76 ,1/22/2021 12:35 PM,1/22/2021,$25.00 ,$308.70 ,10/23/2024,9/18/2025 2:16 PM,$668.16 ,,,Current|Retained|Recurring,,,,63367-6481,MO
270,"$1,886.78 ",9/5/2025,$20.00 ,$240.00 ,3/27/2017 11:51 AM,12/1/2015,$30.00 ,$125.00 ,7/20/2016,7/31/2025 10:24 AM,"$1,886.78 ",Female,2019,Current|Retained|Recurring,,,Missouri Foundation for Health,63109-3204,MO
1220,"$1,329.92 ",9/5/2025,$15.44 ,$185.28 ,11/26/2017 3:08 PM,11/13/2017,$0.00 ,$34.60 ,11/18/2017,7/31/2025 10:24 AM,"$1,329.92 ",Female,1956,Current|Retained|Recurring,,,,63122,MO
10968,$421.89 ,9/5/2025,$10.29 ,$123.48 ,5/5/2022 9:30 PM,5/5/2022,$10.29 ,$10.29 ,5/5/2022,4/29/2025 11:43 AM,$421.89 ,,1969,Current|Retained|Recurring,,,,62034-3237,IL
13370,$349.86 ,9/8/2025,$10.29 ,$123.48 ,12/8/2022 6:46 PM,12/8/2022,$10.29 ,$10.29 ,12/8/2022,7/31/2025 10:24 AM,$349.86 ,,,Current|Retained|Recurring,,,,65202-1408,MO
12913,"$3,354.60 ",9/10/2025,$43.22 ,$518.64 ,10/27/2022 2:08 PM,4/10/2023,$43.22 ,"$2,058.00 ",4/25/2024,9/18/2025 2:16 PM,"$3,354.60 ",Female,,Current|Retained|Recurring|Young Friends,,,Southwest Airlines,63144-1620,MO
22006,$102.90 ,9/10/2025,$51.45 ,$257.25 ,8/10/2025 2:32 PM,8/10/2025,$51.45 ,$51.45 ,8/10/2025,9/3/2025 11:17 AM,$102.90 ,,1956,Current|Retained|Recurring,,,,63112-1107,MO
11503,"$2,000.00 ",9/10/2025,$50.00 ,$0.00 ,6/22/2022 4:36 PM,6/22/2022,$50.00 ,$50.00 ,6/22/2022,9/18/2025 2:16 PM,"$2,000.00 ",,1953,Current|Retained,,,,63122,MO
22304,$520.00 ,9/11/2025,$260.00 ,"$1,040.00 ",9/9/2025 9:21 AM,9/9/2025,$260.00 ,$260.00 ,9/9/2025,9/9/2025 1:28 PM,$520.00 ,Female,,Current|Retained|Recurring,,,"Levi, Ray & Shoup, Inc.",62670,IL
4528,"$4,539.75 ",9/11/2025,$51.45 ,$514.50 ,10/25/2019 11:25 AM,6/6/2019,$50.00 ,"$1,000.00 ",10/18/2019,7/31/2025 10:24 AM,"$4,539.75 ",Female,1971,Current|Retained|Recurring,,2020|2021|2025,,63119-3146,MO
3085,"$1,500.00 ",9/11/2025,$25.00 ,$300.00 ,4/19/2019 12:15 PM,11/11/2020,$25.00 ,$25.00 ,11/11/2020,9/28/2025 4:31 PM,"$1,500.00 ",,1946,Current|Retained|Recurring,,,,63119-4997,MO
768,"$5,396.30 ",9/12/2025,$10.29 ,$102.90 ,5/30/2017 9:08 PM,11/12/2015,$50.00 ,"$1,000.00 ",4/30/2018,12/6/2024 11:08 AM,"$5,396.30 ",,1957,Current|Retained|Recurring,,,,63126-3227,MO
7928,"$1,157.07 ",9/13/2025,$25.73 ,$308.76 ,6/29/2021 3:16 PM,11/12/2021,$25.00 ,$257.25 ,7/11/2024,9/18/2025 2:16 PM,"$1,157.07 ",,,Current|Retained|Recurring,,,,63135-2356,MO
16785,$103.00 ,9/13/2025,$5.15 ,$61.80 ,2/13/2024 3:06 PM,2/13/2024,$5.15 ,$5.15 ,2/13/2024,4/29/2025 11:43 AM,$103.00 ,,,Current|Retained|Recurring,,,,98125-4029,WA
7909,$477.90 ,9/13/2025,$25.00 ,$200.00 ,6/29/2021 12:36 PM,6/21/2021,$0.00 ,$100.00 ,4/10/2023,7/31/2025 10:24 AM,$477.90 ,,1955,Current|Retained|Recurring,,,,63123-2102,MO
5611,"$6,566.13 ",9/14/2025,$35.00 ,$420.00 ,5/28/2020 11:18 AM,5/5/2018,$75.00 ,$514.50 ,3/30/2024,7/18/2025 10:56 AM,"$6,566.13 ",,2019,Current|Retained|Recurring,Other,,,63123-7254,MO
3549,"$3,951.43 ",9/14/2025,$50.00 ,$600.00 ,7/13/2019 3:22 PM,11/27/2019,$250.00 ,$400.00 ,10/12/2020,4/29/2025 11:44 AM,"$3,951.43 ",,,Current|Retained|Recurring,,,,63122-3939,MO
7094,$504.89 ,9/15/2025,$10.29 ,$123.48 ,3/12/2021 12:01 PM,12/21/2021,$0.00 ,$82.32 ,9/15/2023,6/9/2025 2:51 PM,$504.89 ,,,Current|Retained|Recurring|Volunteer|Young Friends,,,,63143-1317,MO
674,"$3,969.95 ",9/15/2025,$25.00 ,$300.00 ,5/2/2017 4:05 PM,12/28/2015,$200.00 ,$300.00 ,1/10/2020,7/31/2025 10:24 AM,"$3,969.95 ",Female,2019,Current|Retained|Recurring,,2015|2016|2017|2018,OASIS Institute,63021-7531,MO
1154,"$2,191.55 ",9/15/2025,$51.45 ,$617.40 ,10/17/2017 6:11 PM,10/4/2017,$0.00 ,$185.00 ,11/30/2021,9/18/2025 2:16 PM,"$2,191.55 ",Female,1959,Current|Retained|Recurring,Other,,,63021-6609,MO
5881,"$2,524.00 ",9/15/2025,$25.00 ,$300.00 ,8/20/2020 11:18 AM,8/20/2020,$99.00 ,$99.00 ,8/20/2020,6/10/2025 2:50 AM,"$2,524.00 ",,1966,Current|Retained|Recurring,,,,63122-4012,MO
366,"$1,836.47 ",9/15/2025,$15.00 ,$180.00 ,3/31/2017 10:55 AM,12/5/2017,$100.00 ,$308.70 ,8/28/2024,7/31/2025 10:24 AM,"$1,836.47 ",,2019,Current|Retained|Recurring,,,,63119-1906,MO
10766,$617.40 ,9/17/2025,$20.58 ,$246.96 ,4/12/2022 11:59 AM,3/24/2022,$0.00 ,$20.58 ,4/17/2023,5/16/2025 10:39 AM,$617.40 ,,,Current|Retained|Recurring|Volunteer|Young Friends,Other,,,63105-3117,MO
3035,"$7,765.00 ",9/18/2025,$100.00 ,"$1,200.00 ",4/4/2019 1:56 PM,1/2/2019,$60.00 ,$500.00 ,7/16/2019,7/31/2025 9:48 AM,"$7,765.00 ",,,Current|Retained|Recurring,,,,63104-2574,MO
959,"$2,360.00 ",9/19/2025,$25.00 ,$300.00 ,8/16/2017 1:20 PM,9/19/2017,$35.00 ,$75.00 ,12/3/2019,7/31/2025 10:24 AM,"$2,360.00 ",Female,2019,Current|Retained|Recurring,,,,63122-4437,MO
14260,$478.64 ,9/19/2025,$15.44 ,$185.28 ,3/19/2023 11:22 AM,3/19/2023,$15.44 ,$15.44 ,3/19/2023,7/31/2025 10:24 AM,$478.64 ,,,Current|Retained|Recurring|Young Friends,,,,63139-2828,MO
19358,"$5,145.00 ",9/19/2025,$514.50 ,"$6,174.00 ",11/19/2024 7:37 PM,11/19/2024,$514.50 ,$514.50 ,11/19/2024,9/18/2025 2:16 PM,"$5,145.00 ",,,Current|Retained|Recurring,,,,63130-2311,MO
7130,"$1,121.04 ",9/20/2025,$20.76 ,$249.12 ,3/22/2021 4:50 AM,3/22/2021,$20.76 ,$20.76 ,3/22/2021,7/31/2025 10:24 AM,"$1,121.04 ",,1960,Current|Retained|Recurring,,,,63119-1233,MO
7926,"$1,439.28 ",9/20/2025,$51.45 ,$617.40 ,6/29/2021 3:10 PM,12/13/2021,$255.93 ,$255.93 ,12/13/2021,9/18/2025 2:16 PM,"$1,439.28 ",,,Current|Retained|Recurring,,,,63141-7655,MO
1627,"$3,946.93 ",9/20/2025,$10.00 ,$120.00 ,4/12/2018 7:04 PM,4/12/2018,$10.00 ,$500.00 ,4/29/2024,9/25/2025 2:32 PM,"$3,946.93 ",Female,2019,Current|Retained|Recurring,,,,63123-2833,MO
14775,"$3,523.60 ",9/20/2025,$102.90 ,"$1,234.80 ",5/30/2023 9:53 AM,1/24/2022,$25.00 ,$102.90 ,12/20/2022,7/31/2025 9:48 AM,"$3,523.60 ",,1963,Current|Retained|Recurring,,,,63376-2547,MO
6285,$293.44 ,9/20/2025,$5.15 ,$61.80 ,11/11/2020 11:05 AM,12/20/2022,$5.15 ,$77.18 ,10/1/2024,4/29/2025 11:43 AM,$293.44 ,,,Current|Retained|Recurring|Young Friends,,,,63116-3965,MO
7348,"$13,920.22 ",9/22/2025,$255.93 ,"$3,071.16 ",4/22/2021 9:52 AM,1/25/2019,$100.00 ,$255.93 ,4/22/2021,4/29/2025 11:44 AM,"$13,920.22 ",,,Current|Retained|Recurring|Major Donors,,,,62285-3675,IL
4926,$225.80 ,9/22/2025,$205.80 ,$823.20 ,12/31/2019 10:24 AM,7/9/2019,$20.00 ,$205.80 ,9/22/2025,9/22/2025 2:05 PM,$225.80 ,Female,1983,Current|Recaptured|Recurring|Board Member,Personal Shopper|Warehouse Assistant,2025,,63110,MO
7936,$692.27 ,9/22/2025,$10.29 ,$123.48 ,6/29/2021 3:47 PM,12/16/2021,$103.29 ,$105.00 ,5/17/2023,9/27/2025 12:12 PM,$692.27 ,,,Current|Retained|Recurring,,,,63119-3158,MO
8677,$214.64 ,9/22/2025,$10.29 ,$123.48 ,9/27/2021 1:44 PM,9/27/2021,$50.00 ,$50.00 ,9/27/2021,7/31/2025 10:24 AM,$214.64 ,,,Current|Retained|Recurring,,,,63144-2231,MO
14,"$5,440.00 ",9/22/2025,$50.00 ,$0.00 ,3/24/2017 7:02 AM,7/19/2016,$50.00 ,$50.00 ,7/19/2016,9/18/2025 2:16 PM,"$5,440.00 ",Female,2019,Current|Retained,,,,63129-1905,MO
17595,$257.30 ,9/23/2025,$25.73 ,$308.76 ,5/6/2024 8:59 AM,12/23/2024,$25.73 ,$25.73 ,12/23/2024,7/31/2025 10:24 AM,$257.30 ,,,Current|Retained|Recurring,,,,63117-2236,MO
21245,$514.50 ,9/24/2025,$102.90 ,$823.20 ,5/24/2025 9:20 PM,5/24/2025,$102.90 ,$102.90 ,5/24/2025,7/31/2025 9:48 AM,$514.50 ,,,Current|Retained|Recurring,,,,63105-2224,MO
20490,"$2,542.85 ",9/24/2025,$51.45 ,$967.40 ,3/25/2025 10:59 AM,9/27/2019,$35.00 ,$51.45 ,1/24/2023,4/29/2025 11:43 AM,"$2,542.85 ",,1951,Current|Retained|Recurring,,,,63122-2018,MO
20448,$72.03 ,9/24/2025,$10.29 ,$102.90 ,3/24/2025 12:13 PM,3/24/2025,$10.29 ,$10.29 ,3/24/2025,7/31/2025 10:24 AM,$72.03 ,,,Current|Retained|Recurring,,,,63122-3432,MO
4371,"$1,350.00 ",9/24/2025,$10.00 ,$160.00 ,10/4/2019 8:30 AM,10/4/2019,$20.00 ,$20.00 ,10/4/2019,7/31/2025 10:24 AM,"$1,350.00 ",,1958,Current|Retained|Recurring,,,,63091-1717,MO
1680,"$2,250.00 ",9/25/2025,$25.00 ,$300.00 ,4/25/2018 10:32 PM,4/25/2018,$25.00 ,$25.00 ,4/25/2018,7/31/2025 10:24 AM,"$2,250.00 ",,,Current|Retained|Recurring,,,,63376-7002,MO
2281,"$11,054.87 ",9/25/2025,$40.00 ,"$1,380.00 ",11/22/2018 7:27 PM,12/19/2017,$25.00 ,"$1,000.00 ",3/17/2020,7/31/2025 10:24 AM,"$11,054.87 ",,1983,Current|Retained|Recurring,,,,63122-5112,MO
4575,$797.53 ,9/25/2025,$25.73 ,$308.76 ,10/31/2019 11:34 AM,10/25/2019,$0.00 ,$514.50 ,12/23/2024,9/18/2025 2:16 PM,$797.53 ,,,Current|Retained|Recurring,,,,63119-4760,MO
15856,"$3,615.00 ",9/26/2025,$50.00 ,$600.00 ,11/13/2023 9:40 AM,12/26/2021,$50.00 ,$415.00 ,9/21/2024,4/29/2025 11:44 AM,"$3,615.00 ",,1973,Current|Retained|Recurring,Other,,,63119-4623,MO
15599,"$7,589.14 ",9/27/2025,$150.00 ,$0.00 ,10/11/2023 12:05 PM,12/18/2020,$0.00 ,"$1,000.00 ",9/27/2025,4/29/2025 3:15 PM,"$7,589.14 ",,,Current|Retained,,,,63109-2605,MO
16527,"$4,712.77 ",9/27/2025,$20.00 ,$310.44 ,1/17/2024 2:07 PM,10/7/2020,$15.00 ,$514.50 ,6/16/2025,7/31/2025 9:48 AM,"$4,712.77 ",,,Current|Retained|Recurring,,,,63104-2652,MO
602,"$2,226.90 ",9/27/2025,$23.00 ,$276.00 ,5/1/2017 1:48 PM,4/22/2016,$500.00 ,$500.00 ,4/22/2016,7/31/2025 10:24 AM,"$2,226.90 ",,2019,Current|Retained|Recurring,,,,63017-5635,MO
781,"$14,316.66 ",9/27/2025,$20.00 ,$617.40 ,6/13/2017 10:59 AM,7/27/2017,$40.00 ,"$1,185.00 ",9/27/2025,12/6/2024 11:08 AM,"$14,316.66 ",Male,1960,Current|Retained|Recurring,,,None,63129-2360,MO
731,"$5,008.75 ",9/27/2025,$270.00 ,"$2,302.90 ",5/20/2017 8:54 AM,5/20/2017,$25.00 ,$309.60 ,5/31/2025,10/2/2025 1:32 PM,"$5,008.75 ",,,Current|Retained|Recurring|Major Donors,,2025,,63141-7424,MO
18263,"$7,536.72 ",9/27/2025,$135.00 ,"$1,234.80 ",7/5/2024 1:12 PM,9/18/2017,$100.00 ,"$1,029.00 ",4/15/2024,7/31/2025 9:48 AM,"$7,536.72 ",,2019,Current|Retained|Recurring,,2023|2024|2025,,63117-2522,MO
302,"$7,205.41 ",9/27/2025,$100.00 ,"$1,752.90 ",3/28/2017 2:42 PM,10/5/2016,$30.00 ,$514.50 ,1/17/2024,10/1/2025 1:28 PM,"$7,205.41 ",Female,2019,Current|Retained|Recurring|Board Member|Development Committee,,2015|2016|2017|2018|2024|2025,,63114-4908,MO
13401,"$7,832.63 ",9/27/2025,$215.00 ,$0.00 ,12/11/2022 11:44 AM,7/6/2018,$100.00 ,"$1,000.00 ",5/16/2023,7/1/2025 1:52 PM,"$7,832.63 ",,,Current|Retained,,,,63119-3968,MO
333,"$2,620.00 ",9/28/2025,$25.00 ,$300.00 ,3/30/2017 3:59 PM,1/4/2017,$100.00 ,$100.00 ,1/4/2017,7/31/2025 10:24 AM,"$2,620.00 ",,2019,Current|Retained|Recurring,,,,63131-4508,MO
15354,$509.48 ,9/28/2025,$15.44 ,$185.28 ,9/6/2023 7:05 PM,9/6/2023,$77.18 ,$77.18 ,9/6/2023,4/29/2025 11:43 AM,$509.48 ,,,Current|Retained|Recurring|Young Friends,,,,63146-3908,MO
10134,"$2,140.02 ",9/29/2025,$25.73 ,$414.22 ,2/4/2022 9:09 AM,10/1/2021,$37.12 ,$123.73 ,8/10/2022,7/31/2025 10:24 AM,"$2,140.02 ",,,Current|Retained|Recurring,,,,63119-4733,MO
2945,$973.73 ,9/29/2025,$10.29 ,$123.48 ,3/14/2019 12:31 PM,9/13/2017,$50.00 ,$102.90 ,7/24/2023,7/31/2025 10:24 AM,$973.73 ,Female,,Current|Retained|Recurring,,,Centene,63110-2444,MO
2285,"$1,615.39 ",9/29/2025,$25.73 ,$308.76 ,11/22/2018 8:21 PM,12/1/2016,$0.00 ,$119.00 ,9/1/2020,7/31/2025 10:24 AM,"$1,615.39 ",,2019,Current|Retained|Recurring,,,,63119-4814,MO
304,"$11,557.23 ",9/29/2025,$5.15 ,$61.80 ,3/28/2017 2:42 PM,7/11/2016,$451.07 ,"$2,500.00 ",9/21/2024,10/1/2025 1:28 PM,"$11,557.23 ",Female,2017,Current|Retained|Recurring|Staff,Furniture Delivery,,Home Sweet Home,63128-1403,MO
179,"$1,523.16 ",9/29/2025,$20.58 ,$410.16 ,3/27/2017 6:32 AM,9/16/2016,$0.00 ,$115.00 ,1/6/2023,8/27/2025 12:35 PM,"$1,523.16 ",Female,1947,Current|Retained|Recurring,,,,63131,MO
1325,"$4,259.62 ",9/29/2025,$25.73 ,$480.11 ,12/27/2017 11:40 AM,12/27/2017,$500.00 ,$500.00 ,12/27/2017,4/29/2025 11:44 AM,"$4,259.62 ",,2019,Current|Retained|Recurring,,,,66007-6802,KS
6390,"$5,418.55 ",9/30/2025,$102.90 ,"$1,234.80 ",12/3/2020 9:41 AM,12/13/2019,$30.00 ,$250.00 ,5/2/2024,4/29/2025 11:44 AM,"$5,418.55 ",Female,,Current|Retained|Recurring,Other,,,63119-2036,MO
14738,$308.70 ,9/30/2025,$10.29 ,$123.48 ,5/26/2023 3:50 PM,5/23/2023,$0.00 ,$51.45 ,7/10/2024,7/31/2025 10:24 AM,$308.70 ,,,Current|Retained|Recurring,,,,63011-1825,MO
12782,$285.70 ,9/30/2025,$5.15 ,$61.80 ,10/11/2022 2:40 PM,11/5/2022,$10.60 ,$100.00 ,5/16/2023,5/17/2025 2:44 PM,$285.70 ,,,Current|Retained|Recurring|Board Member|Former Board Member|Young Friends,,2023,,62035-1916,IL
2968,$883.61 ,9/30/2025,$10.29 ,$123.48 ,3/18/2019 7:01 PM,9/13/2017,$0.00 ,$103.29 ,12/28/2021,7/31/2025 10:24 AM,$883.61 ,Female,,Current|Retained|Recurring,,,,63122-2546,MO
17040,$103.00 ,10/1/2025,$5.15 ,$61.80 ,3/1/2024 10:43 AM,3/1/2024,$5.15 ,$5.15 ,3/1/2024,9/28/2025 1:48 PM,$103.00 ,,,Current|Retained|Recurring|Young Friends,,,,63123-1328,MO
521,"$2,675.75 ",10/2/2025,$51.45 ,$617.40 ,4/3/2017 1:00 PM,9/8/2021,$0.00 ,$154.35 ,3/2/2024,9/18/2025 2:16 PM,"$2,675.75 ",,1970,Current|Retained|Recurring,,,,63109-3525,MO
1280,$893.72 ,10/2/2025,$10.29 ,$123.48 ,12/7/2017 9:28 AM,3/28/2017,$20.00 ,$154.80 ,6/10/2025,7/31/2025 9:48 AM,$893.72 ,Male,,Current|Retained|Recurring,,,,63026-6922,MO
13934,$494.08 ,10/2/2025,$15.44 ,$185.28 ,2/2/2023 10:19 AM,2/2/2023,$15.44 ,$15.44 ,2/2/2023,4/29/2025 11:43 AM,$494.08 ,,1954,Current|Retained|Recurring|Young Friends,,,,63021-6419,MO
3067,"$31,445.88 ",10/2/2025,$200.00 ,"$2,400.00 ",4/19/2019 10:13 AM,4/15/2019,$0.00 ,"$5,000.00 ",11/29/2022,9/18/2025 2:22 PM,"$31,445.88 ",,,Current|Retained|Recurring|Volunteer|Major Donors,,,,63105-3070,MO
4370,"$2,085.04 ",10/3/2025,$25.73 ,$308.76 ,10/4/2019 7:12 AM,10/4/2019,$100.00 ,$100.00 ,10/4/2019,9/30/2025 11:49 AM,"$2,085.04 ",,1951,Current|Retained|Recurring,,,,63119-3260,MO
787,$490.22 ,10/3/2025,$25.73 ,$308.76 ,6/16/2017 5:54 PM,6/16/2017,$25.00 ,$25.73 ,9/3/2024,7/31/2025 10:24 AM,$490.22 ,,1977,Current|Retained|Recurring,,,,63139-2731,MO
1820,"$17,471.29 ",10/3/2025,$300.00 ,"$3,600.00 ",6/15/2018 5:24 PM,6/1/2018,$850.00 ,"$1,000.00 ",12/27/2021,9/18/2025 2:16 PM,"$17,471.29 ",Male,1978,Current|Retained|Recurring|Former Board Member|Major Donors,,2021|2022,Friendship Village STL,63122-2509,MO
